Latitude,Longitude,Accident Frequency,Accident Severity,Road Type,Road Condition,Weather,Lighting,Speed Limit (km/h),Traffic Volume (vehicles/day),Road Curvature,Elevation & Gradient,Intersections,Pedestrian Activity,Road Signage,Guardrails,Accident Prone
-16.698596,31.343442,8,5,Highway,Fair,Rainy,Night,70,21975,Straight,Medium,1,Low,Absent,Present,1
-16.79123,31.484556,9,1,Urban Road,Good,Rainy,Day,80,4113,Moderate,Low,0,Medium,Present,Absent,0
-17.592421,30.972101,4,2,Urban Road,Fair,Clear,Day,120,15994,Sharp,Low,5,Low,Present,Absent,0
-17.172391,31.449262,7,2,Rural Road,Good,Clear,Day,50,8262,Straight,Low,2,Low,Present,Present,0
-18.203314,32.47326,18,2,Urban Road,Poor,Clear,Day,70,5249,Straight,Medium,5,Low,Present,Present,1
-17.153135,32.439824,5,5,Rural Road,Good,Rainy,Night,70,24473,Straight,Low,1,Medium,Present,Present,1
-16.638103,31.879054,12,5,Urban Road,Fair,Clear,Day,120,10133,Straight,High,0,Medium,Present,Present,1
-17.023102,32.257031,9,3,Rural Road,Fair,Rainy,Day,70,5712,Straight,Medium,0,Low,Present,Present,0
-17.373122,31.260839,10,1,Urban Road,Good,Clear,Day,100,29465,Moderate,Medium,4,Medium,Present,Present,0
-18.448716,31.182496,9,5,Highway,Fair,Clear,Day,100,29121,Moderate,Medium,4,Low,Present,Present,1
-16.703939,30.986965,16,5,Urban Road,Good,Clear,Day,90,29117,Straight,High,2,Low,Present,Absent,1
-17.70019,32.45345,13,4,Highway,Fair,Rainy,Day,60,10636,Straight,High,3,Low,Absent,Present,1
-17.447002,30.724609,10,2,Highway,Fair,Clear,Night,120,8295,Straight,Low,4,Low,Present,Absent,0
-17.157151,32.11906,13,2,Highway,Good,Rainy,Day,90,18336,Straight,Low,2,Medium,Present,Present,1
-17.718188,31.688953,6,3,Urban Road,Fair,Rainy,Day,120,20733,Straight,Medium,1,High,Present,Present,0
-17.20942,31.691501,9,1,Urban Road,Fair,Rainy,Day,80,5610,Gentle,Low,1,Medium,Present,Present,0
-18.11935,30.604678,9,3,Urban Road,Fair,Clear,Day,80,16788,Straight,Medium,0,Low,Present,Present,0
-16.856387,30.502473,10,4,Rural Road,Good,Rainy,Night,50,18669,Gentle,Medium,1,Medium,Absent,Present,1
-17.486323,30.818608,4,2,Urban Road,Good,Clear,Day,50,24346,Moderate,Low,1,Medium,Present,Absent,0
-17.506073,32.484316,14,1,Highway,Poor,Clear,Night,100,9629,Moderate,Medium,3,Medium,Present,Present,1
-18.192418,30.947229,16,5,Rural Road,Poor,Clear,Day,100,10429,Straight,Medium,0,Medium,Present,Present,1
-17.543532,31.512215,7,4,Rural Road,Fair,Clear,Day,60,21420,Straight,Medium,4,Low,Present,Present,1
-17.727078,31.628882,7,3,Urban Road,Fair,Clear,Day,50,7448,Moderate,Low,3,Medium,Present,Present,0
-18.034709,30.941605,6,2,Highway,Poor,Clear,Day,110,28715,Straight,Low,4,Medium,Present,Present,0
-17.537312,30.538385,7,2,Highway,Fair,Clear,Night,90,25764,Straight,Low,3,Low,Present,Present,0
-17.501332,31.032039,6,2,Urban Road,Fair,Clear,Day,80,21877,Straight,High,0,High,Present,Present,0
-17.123731,31.375206,10,2,Urban Road,Fair,Clear,Night,110,27431,Moderate,Low,3,Low,Present,Present,0
-18.330416,31.932647,4,1,Rural Road,Fair,Clear,Day,70,6531,Moderate,Medium,3,Low,Present,Present,0
-16.838931,30.637426,9,4,Rural Road,Fair,Clear,Night,110,29569,Straight,Low,3,Medium,Present,Present,1
-18.416098,32.436978,13,2,Urban Road,Fair,Rainy,Night,80,27098,Straight,Low,1,Low,Present,Present,1
-17.62119,31.725879,16,5,Urban Road,Fair,Clear,Night,60,28143,Straight,High,3,High,Present,Absent,1
-17.578921,32.183997,12,4,Highway,Good,Rainy,Day,80,18140,Straight,Low,3,Medium,Present,Present,1
-16.818594,31.965603,10,3,Highway,Fair,Rainy,Night,110,11496,Moderate,Low,1,Low,Absent,Absent,1
-16.737098,31.055804,7,2,Highway,Fair,Rainy,Day,70,13329,Straight,Medium,3,Low,Absent,Absent,0
-16.834639,30.522063,12,4,Urban Road,Good,Clear,Night,90,19081,Straight,Low,3,Medium,Present,Present,1
-17.173916,30.50376,6,4,Highway,Good,Clear,Night,90,5586,Straight,Medium,3,Low,Present,Present,1
-16.890022,31.039641,13,3,Highway,Good,Rainy,Night,110,19251,Gentle,Low,3,Low,Present,Present,1
-17.757156,30.625084,12,1,Urban Road,Fair,Rainy,Day,100,20509,Moderate,Medium,1,Low,Present,Present,0
-17.830977,30.552393,8,5,Urban Road,Good,Rainy,Day,90,9999,Straight,High,1,High,Present,Present,1
-18.400316,32.307827,7,1,Urban Road,Fair,Foggy,Day,80,6713,Straight,Low,2,Low,Present,Absent,0
-17.757586,31.357774,14,1,Urban Road,Good,Clear,Night,50,17892,Gentle,Low,5,Medium,Present,Present,1
-16.573211,31.620336,16,4,Urban Road,Fair,Clear,Night,90,22054,Straight,Medium,2,Low,Absent,Absent,1
-18.133969,30.54407,12,1,Rural Road,Fair,Clear,Day,60,8171,Moderate,Low,5,Low,Present,Present,0
-16.806163,31.357261,6,1,Urban Road,Fair,Clear,Day,100,10535,Moderate,Low,2,Low,Present,Absent,0
-18.097272,31.017242,6,4,Urban Road,Good,Rainy,Night,80,2781,Straight,Low,1,Medium,Present,Present,1
-18.311696,31.187326,8,3,Highway,Fair,Rainy,Day,70,8852,Sharp,Low,1,Low,Present,Absent,0
-17.947117,31.124698,11,2,Highway,Fair,Rainy,Day,70,13116,Sharp,Low,5,Low,Present,Present,0
-16.712021,31.808585,6,3,Rural Road,Poor,Clear,Night,110,12102,Straight,Medium,1,Low,Absent,Present,0
-18.175533,30.525215,11,1,Rural Road,Good,Clear,Night,80,18648,Moderate,Medium,2,Medium,Absent,Absent,0
-17.196664,31.128122,14,5,Highway,Good,Rainy,Day,60,14328,Moderate,Low,2,Medium,Present,Present,1
-16.817105,31.442574,6,2,Urban Road,Good,Rainy,Day,80,24528,Moderate,Low,2,Medium,Present,Present,0
-18.074711,30.566379,8,4,Rural Road,Fair,Rainy,Day,60,19522,Sharp,Medium,2,Low,Present,Present,1
-16.770873,31.593296,5,1,Urban Road,Good,Foggy,Day,50,22562,Sharp,High,2,Medium,Present,Absent,0
-17.046658,31.109502,14,4,Highway,Fair,Clear,Day,100,18648,Straight,Low,0,Medium,Present,Present,1
-17.039508,31.697617,14,1,Rural Road,Fair,Clear,Night,120,11885,Straight,Low,5,Medium,Present,Present,1
-16.837253,31.697957,5,5,Highway,Poor,Clear,Night,120,25852,Gentle,Low,5,Low,Present,Present,1
-16.714953,31.38676,11,4,Urban Road,Fair,Rainy,Day,80,23909,Moderate,High,3,High,Present,Absent,1
-17.487468,31.768208,4,1,Highway,Fair,Foggy,Day,60,26000,Straight,Low,2,Low,Present,Present,0
-18.086015,31.533145,7,4,Highway,Fair,Clear,Day,60,7482,Straight,Low,4,Low,Absent,Present,1
-16.740275,31.649559,3,5,Urban Road,Fair,Clear,Night,90,11324,Gentle,Low,4,Medium,Absent,Absent,1
-16.774239,30.504208,7,1,Urban Road,Good,Clear,Day,80,5808,Straight,Low,0,High,Present,Present,0
-17.77616,31.687322,15,4,Highway,Fair,Rainy,Day,70,8031,Sharp,High,0,Low,Present,Present,1
-17.3456,30.587478,6,1,Urban Road,Fair,Rainy,Day,60,24947,Gentle,Low,4,Medium,Present,Present,0
-17.731521,31.400247,11,3,Urban Road,Good,Rainy,Night,50,12135,Straight,Low,4,Medium,Present,Absent,1
-16.606711,31.179538,10,3,Urban Road,Good,Clear,Day,100,10767,Gentle,Low,3,Low,Present,Present,0
-18.165281,32.444051,10,2,Highway,Good,Clear,Day,60,20693,Moderate,Low,5,Low,Absent,Present,0
-17.750393,31.448013,10,3,Rural Road,Good,Clear,Day,80,29716,Straight,Medium,1,Low,Present,Absent,0
-17.787629,32.15363,12,5,Urban Road,Good,Foggy,Day,70,21840,Gentle,Low,2,Low,Absent,Present,1
-16.935223,31.969156,8,2,Urban Road,Fair,Clear,Night,90,12403,Sharp,Low,2,High,Present,Present,0
-16.760062,30.761305,13,1,Urban Road,Fair,Clear,Night,70,28770,Gentle,Low,3,Medium,Present,Present,1
-17.928433,30.906446,13,3,Rural Road,Good,Rainy,Night,70,23083,Moderate,Medium,3,Medium,Present,Absent,1
-18.381057,30.506336,11,3,Urban Road,Good,Clear,Night,90,28910,Moderate,Medium,5,Medium,Present,Present,0
-18.23113,31.098791,9,3,Highway,Poor,Clear,Night,120,21225,Moderate,Low,2,Medium,Absent,Absent,1
-18.214299,32.006856,11,1,Urban Road,Good,Rainy,Day,70,21810,Gentle,Medium,4,High,Present,Absent,0
-17.454847,31.099131,4,2,Highway,Fair,Clear,Night,120,12350,Straight,High,2,Medium,Absent,Present,1
-16.687778,31.142991,10,1,Highway,Good,Clear,Day,50,17061,Straight,Medium,5,Low,Absent,Present,0
-17.225818,31.552557,10,5,Rural Road,Fair,Clear,Day,110,25303,Straight,Low,5,Medium,Absent,Absent,1
-17.956906,31.304893,5,5,Highway,Good,Rainy,Day,60,16087,Straight,Low,0,Low,Absent,Absent,1
-18.24014,31.629969,14,2,Rural Road,Fair,Foggy,Day,80,13684,Straight,Low,4,Low,Present,Absent,1
-18.491273,30.833906,12,1,Highway,Good,Rainy,Night,50,14820,Straight,Medium,4,Low,Present,Absent,1
-17.499198,31.365458,10,3,Urban Road,Good,Rainy,Day,90,15411,Moderate,Low,0,Medium,Present,Present,0
-16.907519,32.008046,16,3,Urban Road,Fair,Clear,Night,100,23568,Moderate,Low,2,Medium,Absent,Absent,1
-17.412389,30.699734,12,2,Highway,Good,Clear,Day,110,21045,Gentle,Medium,4,Low,Absent,Present,0
-17.144915,31.123728,6,3,Urban Road,Good,Clear,Day,120,19908,Straight,Medium,3,Medium,Present,Present,0
-17.173985,31.596764,14,3,Rural Road,Fair,Clear,Day,70,27219,Moderate,Medium,4,Low,Present,Absent,1
-17.55238,30.615689,4,3,Urban Road,Fair,Rainy,Night,70,25852,Straight,High,3,Low,Present,Present,1
-17.809616,32.334972,8,1,Urban Road,Fair,Foggy,Day,50,16794,Straight,Low,5,Low,Present,Present,0
-17.140759,30.652478,8,2,Urban Road,Good,Clear,Day,100,3116,Straight,High,3,Medium,Absent,Absent,1
-16.79243,30.983954,18,3,Urban Road,Fair,Foggy,Day,80,23642,Straight,High,5,Medium,Absent,Present,1
-16.91481,32.315798,16,5,Rural Road,Poor,Clear,Night,100,5423,Straight,Low,2,Medium,Present,Present,1
-16.956746,31.497791,9,2,Rural Road,Good,Rainy,Day,110,12695,Moderate,Low,2,Low,Present,Present,0
-18.262995,31.07777,9,3,Urban Road,Fair,Clear,Day,80,2628,Straight,Low,2,Low,Present,Absent,0
-17.727354,31.647683,9,1,Highway,Poor,Clear,Day,70,11256,Straight,Low,0,Low,Present,Present,0
-17.637239,31.93832,11,4,Urban Road,Good,Clear,Night,110,8297,Moderate,Low,3,Medium,Absent,Present,1
-18.091078,31.010618,8,4,Urban Road,Good,Clear,Night,50,17042,Straight,High,4,Medium,Present,Present,1
-16.850424,31.531319,10,4,Urban Road,Good,Clear,Night,50,5832,Straight,Low,0,High,Present,Present,1
-17.892115,30.960833,19,4,Urban Road,Poor,Clear,Day,100,15156,Moderate,High,5,Low,Present,Absent,1
-17.688498,30.940977,13,1,Urban Road,Fair,Rainy,Day,60,14541,Gentle,High,1,Low,Present,Absent,1
-17.235681,30.759883,11,1,Highway,Poor,Clear,Day,110,9263,Straight,High,1,Medium,Absent,Present,1
-16.885858,30.890481,8,4,Highway,Good,Rainy,Day,90,4230,Gentle,Low,1,Low,Present,Absent,1
-17.73129,30.550387,14,2,Urban Road,Poor,Clear,Day,90,22306,Moderate,Medium,2,Low,Present,Present,1
-18.263015,32.423027,13,4,Highway,Poor,Rainy,Night,110,21661,Gentle,Medium,2,Medium,Present,Present,1
-18.126171,30.539591,9,4,Urban Road,Good,Rainy,Day,100,2887,Moderate,Low,0,Medium,Present,Present,1
-17.752158,32.388897,11,3,Urban Road,Fair,Foggy,Day,110,21145,Sharp,Low,5,Low,Present,Absent,0
-18.273393,31.307202,12,1,Highway,Fair,Clear,Day,60,16114,Straight,Low,1,Medium,Present,Present,0
-18.155779,32.351044,4,4,Urban Road,Fair,Rainy,Day,60,17253,Sharp,Low,1,Low,Present,Present,1
-17.448488,30.999049,5,5,Rural Road,Fair,Rainy,Day,100,29491,Moderate,Medium,3,Medium,Present,Absent,1
-17.41602,32.379303,7,2,Urban Road,Good,Rainy,Day,70,20485,Straight,High,4,High,Present,Present,0
-17.631193,31.946896,11,2,Urban Road,Good,Rainy,Night,110,23550,Straight,Low,5,Low,Present,Present,1
-17.582119,31.965467,11,2,Urban Road,Good,Rainy,Day,80,9610,Straight,Medium,2,Medium,Present,Absent,0
-17.457102,30.636917,9,3,Urban Road,Good,Clear,Night,50,20257,Moderate,Low,4,Medium,Present,Absent,0
-17.501136,31.570051,6,2,Rural Road,Good,Clear,Day,80,10326,Straight,Low,3,Low,Present,Absent,0
-18.477015,31.317555,16,5,Highway,Good,Rainy,Night,90,16638,Gentle,Low,4,Low,Absent,Present,1
-17.39324,31.009764,12,1,Rural Road,Good,Rainy,Night,100,8121,Straight,Low,0,Low,Absent,Present,1
-16.842257,31.19778,10,1,Urban Road,Fair,Clear,Day,50,15596,Straight,Low,5,Low,Present,Present,0
-17.018748,32.225945,10,1,Urban Road,Fair,Rainy,Night,60,3673,Gentle,Medium,1,Low,Present,Present,1
-18.384536,31.282066,7,4,Urban Road,Poor,Clear,Night,50,18402,Gentle,Low,1,Low,Present,Present,1
-16.758946,31.762838,10,1,Urban Road,Poor,Clear,Night,50,23772,Straight,High,1,Low,Present,Present,0
-16.914484,30.638092,10,5,Highway,Fair,Rainy,Night,50,21063,Moderate,Low,5,Medium,Present,Present,1
-16.916884,31.402588,7,5,Urban Road,Good,Clear,Day,60,12674,Straight,Low,5,Low,Present,Absent,1
-16.804144,31.59117,11,4,Urban Road,Fair,Rainy,Night,70,5306,Moderate,High,0,Low,Absent,Absent,1
-17.403162,30.632927,13,5,Urban Road,Good,Rainy,Night,70,23714,Gentle,Medium,3,Low,Absent,Absent,1
-16.683543,32.017431,11,4,Rural Road,Fair,Rainy,Day,90,21724,Moderate,Low,2,Low,Present,Absent,1
-16.762721,31.948689,12,2,Urban Road,Good,Rainy,Day,120,15680,Straight,Medium,2,High,Present,Present,0
-17.960976,30.881853,12,4,Rural Road,Good,Rainy,Night,120,12006,Sharp,Medium,1,Medium,Present,Present,1
-18.437702,31.019153,7,2,Urban Road,Fair,Clear,Day,110,26476,Straight,Medium,1,Medium,Present,Present,0
-18.365488,30.689836,12,2,Highway,Fair,Clear,Day,90,4850,Straight,Low,2,Low,Present,Present,0
-17.875607,30.531486,12,3,Highway,Poor,Clear,Day,70,12776,Straight,Medium,2,Low,Present,Present,0
-18.042249,31.693704,8,3,Urban Road,Fair,Clear,Night,60,21923,Sharp,Medium,2,Medium,Present,Absent,0
-18.279873,32.350094,11,3,Urban Road,Fair,Clear,Day,120,8982,Gentle,Low,3,Low,Present,Present,0
-16.602511,30.62121,12,3,Urban Road,Poor,Rainy,Night,70,9323,Straight,Low,4,Low,Absent,Present,1
-18.342884,31.981129,5,4,Highway,Fair,Clear,Day,80,8582,Moderate,Medium,4,High,Present,Present,1
-16.899853,32.269167,6,5,Rural Road,Fair,Foggy,Day,110,11076,Straight,Low,4,High,Absent,Absent,1
-16.62407,30.670207,9,4,Highway,Fair,Clear,Night,120,14851,Straight,Medium,4,Medium,Absent,Present,1
-17.943263,32.096586,8,4,Rural Road,Good,Clear,Day,80,20532,Straight,High,1,Low,Absent,Present,1
-18.334526,31.469076,8,5,Urban Road,Fair,Clear,Day,80,21567,Straight,High,0,Low,Present,Absent,1
-18.386043,31.337215,10,2,Urban Road,Fair,Rainy,Day,110,28102,Moderate,High,0,High,Present,Present,1
-17.558265,31.81211,11,4,Urban Road,Poor,Clear,Day,80,2186,Moderate,Low,4,Medium,Absent,Present,1
-17.02752,31.525794,14,4,Urban Road,Good,Rainy,Day,100,24647,Straight,Low,3,Low,Present,Absent,1
-17.292298,31.653228,10,3,Rural Road,Poor,Clear,Night,90,23758,Straight,High,0,Low,Present,Present,1
-17.322134,32.003352,11,1,Urban Road,Fair,Clear,Day,110,20380,Straight,Low,1,High,Absent,Present,0
-16.650955,32.071625,11,4,Urban Road,Good,Clear,Day,50,21741,Sharp,Medium,4,Medium,Present,Present,1
-16.974213,30.590905,11,1,Urban Road,Fair,Clear,Day,100,22896,Moderate,High,0,Medium,Present,Present,1
-17.827986,31.431365,12,2,Urban Road,Fair,Clear,Night,120,29129,Gentle,Medium,5,Low,Present,Absent,0
-17.637775,30.675097,8,1,Urban Road,Good,Clear,Day,70,26848,Gentle,Low,3,Medium,Absent,Absent,0
-17.021866,31.054929,12,3,Urban Road,Good,Clear,Day,50,3961,Straight,High,3,Low,Present,Absent,0
-18.376383,30.684721,6,5,Urban Road,Fair,Clear,Day,60,19480,Moderate,Medium,1,Low,Present,Present,1
-16.616934,32.068412,10,4,Urban Road,Fair,Rainy,Night,110,25683,Straight,Medium,0,Low,Present,Absent,1
-17.292406,32.226271,13,5,Urban Road,Good,Clear,Day,80,19358,Straight,Low,0,Low,Present,Present,1
-18.064183,30.530354,11,3,Urban Road,Fair,Rainy,Day,50,9347,Straight,High,4,Medium,Present,Present,0
-17.776917,30.684336,11,3,Urban Road,Fair,Clear,Day,80,8251,Straight,Low,2,Medium,Present,Present,0
-17.652904,32.087141,7,4,Highway,Fair,Clear,Night,50,22288,Straight,Medium,1,Medium,Absent,Present,1
